article,txt_file,алгебра,векторное_пространство,гомоморф,гомоморфизм,группа,действие,идеал,изоморф,изоморфизм,классификация,кольцо,модуль,нормальная_подгруппа,орбита,подгрупп,подгруппа,поле,свойство,стабилизатор
elibrary_11162670_72358071,C:\Programming\PR_09\output\txt_clean\elibrary_11162670_72358071.txt,3,2,24,24,127,0,5,10,10,0,32,35,0,0,14,14,4,4,0
elibrary_11162670_72358071,C:\Programming\PR_09\output\txt_clean\elibrary_11162670_72358071.txt,3,2,24,24,127,0,5,10,10,0,32,35,0,0,14,14,4,4,0
elibrary_11606382_64427316,C:\Programming\PR_09\output\txt_clean\elibrary_11606382_64427316.txt,44,0,4,4,0,1,1,2,2,0,2,5,0,0,0,0,1,18,0
elibrary_11606382_64427316,C:\Programming\PR_09\output\txt_clean\elibrary_11606382_64427316.txt,44,0,4,4,0,1,1,2,2,0,2,5,0,0,0,0,1,18,0
elibrary_11636370_81603066,C:\Programming\PR_09\output\txt_clean\elibrary_11636370_81603066.txt,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elibrary_11636370_81603066,C:\Programming\PR_09\output\txt_clean\elibrary_11636370_81603066.txt,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elibrary_12940994_90179269,C:\Programming\PR_09\output\txt_clean\elibrary_12940994_90179269.txt,64,5,1,1,0,0,4,9,9,0,6,3,0,0,0,0,53,5,0
elibrary_12940994_90179269,C:\Programming\PR_09\output\txt_clean\elibrary_12940994_90179269.txt,64,5,1,1,0,0,4,9,9,0,6,3,0,0,0,0,53,5,0
elibrary_12945099_81362740,C:\Programming\PR_09\output\txt_clean\elibrary_12945099_81362740.txt,8,2,21,21,0,0,1,2,2,0,3,0,0,0,0,0,10,3,0
elibrary_12945099_81362740,C:\Programming\PR_09\output\txt_clean\elibrary_12945099_81362740.txt,8,2,21,21,0,0,1,2,2,0,3,0,0,0,0,0,10,3,0
elibrary_13063292_33605172,C:\Programming\PR_09\output\txt_clean\elibrary_13063292_33605172.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elibrary_13063292_33605172,C:\Programming\PR_09\output\txt_clean\elibrary_13063292_33605172.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
